fecha,Demanda real
2021-08-28,29683.791666666668
2021-08-29,26519.118055555555
2021-08-30,24527.006944444445
2021-08-31,28827.72180451128
2021-09-01,26671.25
2021-09-02,29175.77083333333
2021-09-03,28953.847222222223
2021-09-04,28873.73611111111
2021-09-05,25867.222222222223
2021-09-06,24615.166666666668
2021-09-07,29861.277777777777
2021-09-08,30452.625
2021-09-09,29764.506944444445
2021-09-10,29882.88888888889
2021-09-11,29244.88888888889
2021-09-12,26010.70833333333
2021-09-13,24550.33333333333
2021-09-14,28941.284722222223
2021-09-15,29389.125
2021-09-16,29125.0625
2021-09-17,28306.125
2021-09-18,28031.159722222223
2021-09-19,24767.902777777777
2021-09-20,22915.965277777777
2021-09-21,27096.319444444445
2021-09-22,27143.29861111111
2021-09-23,27446.402777777777
2021-09-24,27502.4375
2021-09-25,27320.097222222223
2021-09-26,24548.01388888889
2021-09-27,22761.055555555555
2021-09-28,27191.715277777777
2021-09-29,27963.979166666668
2021-09-30,28233.51879699248
2021-10-01,24622.33333333333
2021-10-02,27444.027777777777
2021-10-03,24319.631944444445
2021-10-04,22666.9375
2021-10-05,26065.48611111111
2021-10-06,26897.541666666668
2021-10-07,27513.805555555555
2021-10-08,27204.152777777777
2021-10-09,26969.625
2021-10-10,23943.743055555555
2021-10-11,22094.555555555555
2021-10-12,24208.180555555555
2021-10-13,22618.659722222223
2021-10-14,26505.17361111111
2021-10-15,26734.152777777777
2021-10-16,27022.444444444445
2021-10-17,24176.229166666668
2021-10-18,22666.354166666668
2021-10-19,26952.131944444445
2021-10-20,27460.20138888889
2021-10-21,27414.5625
2021-10-22,27246.152777777777
2021-10-23,26872.340277777777
2021-10-24,23997.055555555555
2021-10-25,22480.569444444445
2021-10-26,26758.534722222223
2021-10-27,27442.027777777777
2021-10-28,27336.243055555555
2021-10-29,27404.229166666668
2021-10-30,27492.33333333333
2021-10-31,24939.744360902256
2021-11-01,21708.666666666668
2021-11-02,22763.70138888889
2021-11-03,26785.77083333333
2021-11-04,27790.45138888889
2021-11-05,28096.791666666668
2021-11-06,28374.993055555555
2021-11-07,25835.51388888889
2021-11-08,24427.659722222223
2021-11-09,28510.854166666668
2021-11-10,28883.4375
2021-11-11,29333.652777777777
2021-11-12,29400.3125
2021-11-13,29128.61111111111
2021-11-14,25766.097222222223
2021-11-15,24212.555555555555
2021-11-16,28719.1875
2021-11-17,29653.416666666668
2021-11-18,29682.215277777777
