fecha,demanda,tmed,hrmed,diasem,trim,festivo
2019-06-20,28833.79,19.5,61.61,3,1,0
2019-06-21,28662.99,18.91,59.58,4,1,0
2019-06-22,26175.05,20.47,50.91,5,1,0
2019-06-23,24407.86,22.18,49.58,6,1,0
2019-06-24,27041.55,21.68,55.73,0,1,0
2019-06-25,30324.24,22.41,56.54,1,1,0
2019-06-26,31347.76,24.37,51.66,2,1,0
2019-06-27,31997.06,25.48,46.06,3,1,0
2019-06-28,32435.96,26.12,42.1,4,1,0
2019-06-29,29637.72,26.43,40.77,5,1,0
2019-06-30,26860.67,25.15,46.93,6,1,0
2019-07-01,31667.82,23.46,55.26,0,2,0
2019-07-02,32049.26,22.87,55.99,1,2,0
2019-07-03,31953.01,23.65,54.02,2,2,0
2019-07-04,31949.43,23.63,52.45,3,2,0
2019-07-05,31888.5,23.85,50.04,4,2,0
2019-07-06,28695.17,23.92,48.69,5,2,0
2019-07-07,26640.23,23.75,50.85,6,2,0
2019-07-08,30653.83,21.78,62.57,0,2,0
2019-07-09,30419.26,20.8,59.26,1,2,0
2019-07-10,31045.99,22.54,48.65,2,2,0
2019-07-11,32404.92,24.85,44.34,3,2,0
2019-07-12,32588.1,25.72,45.23,4,2,0
2019-07-13,28740.22,24.45,54.13,5,2,0
2019-07-14,26070.71,22.98,57.1,6,2,0
2019-07-15,31442.88,23.4,49.86,0,2,0
2019-07-16,31800.56,23.18,51.6,1,2,0
2019-07-17,31397.86,22.81,58.65,2,2,0
2019-07-18,31757.1,23.04,52.87,3,2,0
2019-07-19,32194.97,24.61,46.95,4,2,0
2019-07-20,29081.5,25.4,49.89,5,2,0
2019-07-21,27152.24,25.55,52.04,6,2,0
2019-07-22,33046.3,27.04,46.4,0,2,0
2019-07-23,33848.56,27.08,44.06,1,2,0
2019-07-24,33880.63,26.53,44.42,2,2,0
2019-07-25,32794.84,25.77,47.74,3,2,0
2019-07-26,31656.31,22.2,58.25,4,2,0
2019-07-27,27184.69,19.74,63.63,5,2,0
2019-07-28,24896.23,20.64,52.6,6,2,0
2019-07-29,29991.81,21.8,49.98,0,2,0
2019-07-30,30667.86,21.07,48.63,1,2,0
2019-07-31,26839.5,21.68,53.46,2,2,0
2019-08-01,30934.84,23.47,54.56,3,2,0
2019-08-02,30722.94,23.83,49.82,4,2,0
2019-08-03,27503.24,24.47,48.54,5,2,0
2019-08-04,25821.35,24.61,51.26,6,2,0
2019-08-05,30430.62,24.67,50.14,0,2,0
2019-08-06,31121.15,24.76,51.22,1,2,0
2019-08-07,30756.81,23.71,57.3,2,2,0
2019-08-08,31371.81,25.29,52.07,3,2,0
2019-08-09,31356.26,24.26,54.09,4,2,0
2019-08-10,27939.78,23.22,53.69,5,2,0
2019-08-11,25340.31,21.6,54.97,6,2,0
2019-08-12,27856.31,19.8,49.11,0,2,0
2019-08-13,27900.31,20.47,49.08,1,2,0
2019-08-14,28360.26,22.12,48.94,2,2,0
2019-08-15,25825.26,23.36,52.06,3,2,1
2019-08-16,28173.33,24.05,49.01,4,2,0
2019-08-17,26976.58,25.04,47.3,5,2,0
2019-08-18,25503.33,23.81,53.2,6,2,0
2019-08-19,29360.26,22.0,57.86,0,2,0
2019-08-20,29137.06,21.27,59.89,1,2,0
2019-08-21,29097.65,22.01,61.06,2,2,0
2019-08-22,29340.05,22.59,51.44,3,2,0
2019-08-23,29301.65,23.52,45.23,4,2,0
2019-08-24,26747.57,23.84,47.59,5,2,0
2019-08-25,25072.85,23.48,54.63,6,2,0
2019-08-26,29686.12,22.11,64.27,0,2,0
2019-08-27,29472.38,21.19,66.05,1,2,0
2019-08-28,29971.82,22.71,58.05,2,2,0
2019-08-29,30628.96,24.03,55.64,3,2,0
2019-08-30,31197.84,24.52,54.6,4,2,0
2019-08-31,24857.25,23.94,55.11,5,2,0
2019-09-01,25602.89,22.51,60.02,6,2,0
2019-09-02,30302.07,21.67,56.92,0,2,0
2019-09-03,31465.22,22.16,51.68,1,2,0
2019-09-04,31655.15,22.07,53.87,2,2,0
2019-09-05,30642.68,20.05,55.98,3,2,0
2019-09-06,29570.76,18.88,53.6,4,2,0
2019-09-07,26221.69,19.15,53.63,5,2,0
2019-09-08,24367.77,19.4,58.23,6,2,0
2019-09-09,28638.19,19.2,55.75,0,2,0
2019-09-10,28554.17,16.21,57.41,1,2,0
2019-09-11,27331.13,17.44,58.41,2,2,0
2019-09-12,28220.27,19.08,59.28,3,2,0
2019-09-13,27735.58,19.34,64.81,4,2,0
2019-09-14,24853.22,20.15,67.72,5,2,0
2019-09-15,23521.26,20.72,72.58,6,2,0
2019-09-16,28519.41,21.25,70.53,0,2,0
2019-09-17,29259.36,21.8,67.39,1,2,0
2019-09-18,29312.66,20.72,67.45,2,2,0
2019-09-19,29442.69,20.63,66.27,3,2,0
2019-09-20,29050.63,20.33,69.73,4,2,0
2019-09-21,25606.78,19.03,76.89,5,2,0
2019-09-22,23597.74,18.03,70.14,6,2,0
2019-09-23,27787.68,17.6,63.69,0,2,0
2019-09-24,28666.92,19.41,61.97,1,2,0
2019-09-25,29067.17,18.62,62.41,2,2,0
2019-09-26,29160.72,19.46,60.01,3,2,0
2019-09-27,28919.08,19.4,60.56,4,2,0
2019-09-28,25440.72,19.41,58.63,5,2,0
2019-09-29,23603.25,20.16,55.44,6,2,0
2019-09-30,24435.5,20.54,58.87,0,2,0
2019-10-01,29211.28,19.68,59.34,1,3,0
2019-10-02,28771.65,17.28,59.28,2,3,0
2019-10-03,28340.69,17.33,56.4,3,3,0
2019-10-04,28291.66,18.11,61.99,4,3,0
2019-10-05,25177.47,18.31,63.13,5,3,0
2019-10-06,23385.88,17.96,62.75,6,3,0
2019-10-07,27994.4,19.04,51.7,0,3,0
2019-10-08,28790.32,19.66,58.41,1,3,0
2019-10-09,28093.59,18.18,63.69,2,3,0
2019-10-10,28531.85,17.8,62.59,3,3,0
2019-10-11,28091.24,19.15,63.23,4,3,0
2019-10-12,24228.61,20.65,62.32,5,3,1
2019-10-13,23198.16,19.39,65.48,6,3,0
2019-10-14,27892.33,15.38,74.68,0,3,0
2019-10-15,27767.31,12.58,63.14,1,3,0
2019-10-16,28032.5,14.26,61.16,2,3,0
2019-10-17,28147.1,15.34,68.75,3,3,0
2019-10-18,27583.97,15.97,73.27,4,3,0
2019-10-19,24887.23,15.08,76.05,5,3,0
2019-10-20,23057.89,11.33,80.06,6,3,0
2019-10-21,27569.15,10.73,75.1,0,3,0
2019-10-22,28623.85,9.94,83.78,1,3,0
2019-10-23,28862.98,10.92,83.42,2,3,0
2019-10-24,28677.53,12.08,77.11,3,3,0
2019-10-25,28311.15,14.6,69.46,4,3,0
2019-10-26,24890.16,15.61,63.97,5,3,0
2019-10-27,23201.29,15.47,69.09,6,3,0
2019-10-28,27737.88,15.98,73.33,0,3,0
2019-10-29,28366.17,15.87,77.43,1,3,0
2019-10-30,28456.91,15.62,78.65,2,3,0
2019-10-31,24309.17,17.06,78.03,3,3,0
2019-11-01,24002.64,17.31,80.64,4,3,1
2019-11-02,23958.97,15.85,78.43,5,3,0
2019-11-03,22979.01,13.83,69.21,6,3,0
2019-11-04,27852.01,13.56,75.54,0,3,0
2019-11-05,28649.62,10.93,73.07,1,3,0
2019-11-06,28773.03,10.52,73.43,2,3,0
2019-11-07,29332.46,9.26,74.84,3,3,0
2019-11-08,29683.8,7.69,69.68,4,3,0
2019-11-09,26563.11,8.46,73.97,5,3,0
2019-11-10,24729.8,7.43,74.31,6,3,0
2019-11-11,30133.33,8.57,78.04,0,3,0
2019-11-12,30548.26,9.17,72.93,1,3,0
2019-11-13,30665.63,10.95,77.65,2,3,0
2019-11-14,31341.33,7.17,78.56,3,3,0
2019-11-15,31330.02,5.42,75.17,4,3,0
2019-11-16,28011.76,5.23,73.19,5,3,0
2019-11-17,26461.76,6.69,83.03,6,3,0
2019-11-18,31121.65,6.84,75.86,0,3,0
2019-11-19,32164.37,6.04,75.74,1,3,0
2019-11-20,32426.69,6.49,81.61,2,3,0
2019-11-21,32371.24,8.24,83.48,3,3,0
2019-11-22,32100.14,9.74,87.65,4,3,0
2019-11-23,27608.23,8.76,74.22,5,3,0
2019-11-24,25746.97,8.39,76.3,6,3,0
2019-11-25,30570.37,11.5,82.33,0,3,0
2019-11-26,30947.87,12.42,81.42,1,3,0
2019-11-27,30458.85,11.47,76.98,2,3,0
2019-11-28,30534.44,11.3,81.81,3,3,0
2019-11-29,30111.03,11.97,81.94,4,3,0
2019-11-30,24416.5,10.95,82.6,5,3,0
2019-12-01,25331.03,8.69,84.0,6,3,0
2019-12-02,30202.11,7.78,80.62,0,3,0
2019-12-03,31106.51,6.22,79.66,1,3,0
2019-12-04,31498.98,6.98,83.16,2,3,0
2019-12-05,31176.52,8.34,82.49,3,3,0
2019-12-06,27109.19,8.73,81.33,4,3,1
2019-12-07,26605.81,8.67,82.06,5,3,0
2019-12-08,25490.86,8.0,86.46,6,3,1
2019-12-09,28727.24,8.85,76.14,0,3,0
2019-12-10,31119.9,8.09,71.55,1,3,0
2019-12-11,31628.54,7.48,74.98,2,3,0
2019-12-12,32246.97,8.03,81.16,3,3,0
2019-12-13,31112.81,11.92,78.06,4,3,0
2019-12-14,27419.61,10.44,75.82,5,3,0
2019-12-15,25926.89,10.04,77.08,6,3,0
2019-12-16,30733.1,9.66,75.07,0,3,0
2019-12-17,31205.47,8.44,83.45,1,3,0
2019-12-18,31232.29,8.59,76.43,2,3,0
2019-12-19,31179.5,10.54,83.87,3,3,0
2019-12-20,29421.17,11.64,86.29,4,3,0
2019-12-21,25836.74,12.85,81.23,5,3,0
2019-12-22,24030.64,11.18,73.22,6,3,0
2019-12-23,26308.62,10.24,72.78,0,3,0
2019-12-24,23938.25,11.61,75.5,1,3,0
2019-12-25,20877.48,11.41,71.96,2,3,1
2019-12-26,24491.81,9.75,74.39,3,3,0
2019-12-27,26400.42,8.22,72.92,4,3,0
2019-12-28,25204.87,8.58,69.58,5,3,0
2019-12-29,24088.1,8.05,70.56,6,3,0
2019-12-30,27096.79,7.24,73.2,0,3,0
2019-12-31,23001.0,6.79,76.57,1,3,0
2020-01-01,22738.1,6.62,75.9,2,0,1
2020-01-02,28652.77,6.25,75.85,3,0,0
2020-01-03,29727.22,6.01,83.05,4,0,0
2020-01-04,27324.22,6.26,82.27,5,0,0
2020-01-05,25797.53,6.6,75.14,6,0,0
2020-01-06,25021.19,6.21,75.54,0,0,1
2020-01-07,31419.66,7.02,72.19,1,0,0
2020-01-08,32529.97,8.08,72.54,2,0,0
2020-01-09,32738.31,7.69,78.96,3,0,0
2020-01-10,32554.17,6.41,75.92,4,0,0
2020-01-11,29169.91,5.7,72.13,5,0,0
2020-01-12,27683.69,5.28,70.96,6,0,0
2020-01-13,33264.85,5.2,70.04,0,0,0
2020-01-14,33531.08,6.49,71.3,1,0,0
2020-01-15,33072.36,8.15,75.37,2,0,0
2020-01-16,32729.58,9.53,71.56,3,0,0
2020-01-17,32194.76,8.25,73.06,4,0,0
2020-01-18,28787.91,7.92,81.82,5,0,0
2020-01-19,27239.33,5.87,70.31,6,0,0
2020-01-20,33673.14,3.7,67.84,0,0,0
2020-01-21,34465.59,4.99,81.12,1,0,0
2020-01-22,33662.0,6.87,84.66,2,0,0
2020-01-23,33093.65,6.78,84.66,3,0,0
2020-01-24,32658.43,7.52,83.98,4,0,0
2020-01-25,28977.11,7.3,87.69,5,0,0
2020-01-26,26704.79,7.1,81.4,6,0,0
2020-01-27,32063.39,7.72,79.84,0,0,0
2020-01-28,32022.51,10.15,82.21,1,0,0
2020-01-29,31469.39,11.0,83.1,2,0,0
2020-01-30,31075.46,11.11,78.7,3,0,0
2020-01-31,27010.83,12.28,80.68,4,0,0
2020-02-01,26866.88,13.43,81.81,5,0,0
2020-02-02,24820.08,13.79,74.93,6,0,0
2020-02-03,28998.24,14.06,67.47,0,0,0
2020-02-04,29612.74,11.8,72.07,1,0,0
2020-02-05,29996.04,8.91,67.76,2,0,0
2020-02-06,30462.37,8.79,69.28,3,0,0
2020-02-07,30644.28,9.22,76.55,4,0,0
2020-02-08,27544.4,8.8,82.61,5,0,0
2020-02-09,25700.82,9.74,78.96,6,0,0
2020-02-10,29818.93,12.51,75.4,0,0,0
2020-02-11,30261.05,11.73,78.2,1,0,0
2020-02-12,30428.07,11.1,82.78,2,0,0
2020-02-13,30173.81,11.36,79.24,3,0,0
2020-02-14,29994.31,10.67,76.71,4,0,0
2020-02-15,26698.28,10.64,73.93,5,0,0
2020-02-16,24857.94,12.21,70.53,6,0,0
2020-02-17,29359.52,10.5,77.34,0,0,0
2020-02-18,30325.31,8.67,75.19,1,0,0
2020-02-19,30303.28,8.73,68.64,2,0,0
2020-02-20,30238.35,9.35,65.45,3,0,0
2020-02-21,29793.28,10.37,62.93,4,0,0
2020-02-22,26497.74,11.25,58.48,5,0,0
2020-02-23,24435.86,11.84,55.04,6,0,0
2020-02-24,29039.97,11.78,53.58,0,0,0
2020-02-25,29460.58,10.72,63.88,1,0,0
2020-02-26,29810.53,9.67,63.91,2,0,0
2020-02-27,29707.26,10.92,60.4,3,0,0
2020-02-28,28921.55,11.9,56.82,4,0,0
2020-02-29,24482.67,11.11,68.71,5,0,0
2020-03-01,24737.21,11.99,68.73,6,0,0
2020-03-02,29332.22,9.76,68.51,0,0,0
2020-03-03,30427.64,10.22,73.51,1,0,0
2020-03-04,29979.08,13.03,72.97,2,0,0
2020-03-05,29859.44,11.09,71.05,3,0,0
2020-03-06,30008.56,7.88,64.68,4,0,0
2020-03-07,26929.17,9.05,62.83,5,0,0
2020-03-08,24925.98,9.84,64.3,6,0,0
2020-03-09,29274.67,10.9,60.28,0,0,0
2020-03-10,29457.42,13.12,57.47,1,0,0
2020-03-11,29516.45,15.26,57.56,2,0,0
2020-03-12,29236.31,15.09,63.34,3,0,0
2020-03-13,28795.53,12.31,70.82,4,0,0
2020-03-14,25324.9,11.97,65.32,5,0,0
2020-03-15,23625.31,11.49,71.46,6,0,0
2020-03-16,27793.62,7.52,80.38,0,0,0
2020-03-17,27912.19,9.99,79.01,1,0,0
2020-03-18,27028.51,12.65,71.92,2,0,0
2020-03-19,25203.06,12.21,70.65,3,0,0
2020-03-20,25689.12,11.16,75.65,4,0,0
2020-03-21,24341.56,10.0,78.56,5,0,0
2020-03-22,23085.06,10.01,80.28,6,0,0
2020-03-23,25915.72,10.59,79.25,0,0,0
2020-03-24,26199.74,10.97,72.75,1,0,0
2020-03-25,26281.72,9.76,69.85,2,0,0
2020-03-26,26106.19,8.62,61.64,3,0,0
2020-03-27,26423.46,7.24,65.63,4,0,0
2020-03-28,23868.3,9.17,61.44,5,0,0
2020-03-29,22096.34,10.18,63.02,6,0,0
2020-03-30,24299.43,6.74,73.22,0,0,0
2020-03-31,21727.42,6.8,85.8,1,0,0
2020-04-01,23906.65,9.5,80.15,2,1,0
2020-04-02,23678.97,9.34,77.38,3,1,0
2020-04-03,23110.9,9.98,64.17,4,1,0
2020-04-04,21430.26,11.09,61.01,5,1,0
2020-04-05,20503.74,13.01,67.71,6,1,0
2020-04-06,22593.58,12.95,79.87,0,1,0
2020-04-07,22468.62,13.85,79.03,1,1,0
2020-04-08,22057.4,14.39,72.25,2,1,0
2020-04-09,21071.67,13.9,75.44,3,1,0
2020-04-10,20208.14,13.81,77.51,4,1,1
2020-04-11,20566.42,13.98,74.08,5,1,0
2020-04-12,19845.54,13.84,68.74,6,1,0
2020-04-13,21542.95,12.75,76.79,0,1,0
2020-04-14,21243.329999999998,13.64,75.52,1,1,0
2020-04-15,23944.59,12.84,78.97,2,1,0
2020-04-16,23921.61,13.95,75.99,3,1,0
2020-04-17,23742.16,14.23,75.4,4,1,0
2020-04-18,21838.73,14.4,76.55,5,1,0
2020-04-19,20593.77,13.6,80.45,6,1,0
2020-04-20,23279.91,12.85,75.42,0,1,0
2020-04-21,24040.42,11.6,82.26,1,1,0
2020-04-22,24132.72,13.07,75.11,2,1,0
2020-04-23,24025.0,14.25,72.88,3,1,0
2020-04-24,23735.7,15.5,70.77,4,1,0
2020-04-25,22058.99,14.49,78.51,5,1,0
2020-04-26,20710.4,14.17,78.9,6,1,0
2020-04-27,23532.65,13.09,77.31,0,1,0
2020-04-28,23985.3,12.66,68.24,1,1,0
2020-04-29,24229.26,13.13,65.84,2,1,0
2020-04-30,20967.08,14.57,67.16,3,1,0
2020-05-01,20583.23,16.86,69.62,4,1,1
2020-05-02,21060.94,18.41,62.78,5,1,0
2020-05-03,20438.97,19.23,55.84,6,1,0
2020-05-04,23358.35,20.23,54.33,0,1,0
2020-05-05,24215.95,17.7,57.17,1,1,0
2020-05-06,24414.22,17.56,55.48,2,1,0
2020-05-07,24063.59,18.75,58.62,3,1,0
2020-05-08,23740.22,18.72,61.83,4,1,0
2020-05-09,21565.18,16.67,69.62,5,1,0
2020-05-10,20225.56,14.0,75.72,6,1,0
2020-05-11,23529.96,15.03,70.04,0,1,0
2020-05-12,24674.68,13.51,81.21,1,1,0
2020-05-13,24414.14,14.27,73.52,2,1,0
2020-05-14,24479.75,12.54,82.26,3,1,0
2020-05-15,23877.47,12.85,78.4,4,1,0
2020-05-16,21756.8,13.79,72.88,5,1,0
2020-05-17,20530.85,14.87,62.29,6,1,0
2020-05-18,23727.67,16.51,54.39,0,1,0
2020-05-19,24401.31,18.54,51.5,1,1,0
2020-05-20,25023.53,19.84,49.21,2,1,0
2020-05-21,25267.88,20.7,50.93,3,1,0
2020-05-22,25380.94,21.33,53.56,4,1,0
2020-05-23,23015.58,19.95,57.53,5,1,0
2020-05-24,21657.65,19.62,57.49,6,1,0
2020-05-25,25124.76,19.64,61.66,0,1,0
2020-05-26,25712.4,19.75,57.79,1,1,0
2020-05-27,25896.9,20.47,53.41,2,1,0
2020-05-28,25747.92,20.85,49.44,3,1,0
2020-05-29,25665.16,20.9,48.13,4,1,0
2020-05-30,23366.43,20.74,51.06,5,1,0
2020-05-31,21225.33,20.38,59.98,6,1,0
2020-06-01,25041.36,20.07,60.7,0,1,0
2020-06-02,26063.55,20.54,60.55,1,1,0
2020-06-03,26421.83,19.58,66.77,2,1,0
2020-06-04,25822.15,16.54,69.16,3,1,0
2020-06-05,25401.0,17.59,56.33,4,1,0
2020-06-06,22950.63,18.63,61.21,5,1,0
2020-06-07,21265.23,16.07,66.42,6,1,0
2020-06-08,24836.68,14.9,60.95,0,1,0
2020-06-09,25483.05,15.3,56.53,1,1,0
2020-06-10,25945.49,16.41,55.62,2,1,0
2020-06-11,25881.33,16.39,63.61,3,1,0
2020-06-12,25600.14,15.09,63.2,4,1,0
2020-06-13,22941.14,15.99,58.05,5,1,0
2020-06-14,21418.31,17.01,55.68,6,1,0
2020-06-15,25605.19,18.06,56.49,0,1,0
2020-06-16,26087.86,17.9,64.44,1,1,0
2020-06-17,26116.13,17.34,60.16,2,1,0
