fecha,tmed,hrMedia
2019-02-14,9.247727215669352,58.63712762292797
2019-02-15,9.487377497615931,60.7448335999809
2019-02-16,9.75890953936687,56.311384680439005
2019-02-17,9.293477261261282,52.730846670379215
2019-02-18,8.782774145504034,66.86952876064174
2019-02-19,8.48187627113667,71.99201873057798
2019-02-20,8.673734183039064,69.37996985101151
2019-02-21,9.78175188564913,61.873086082504166
2019-02-22,11.243659644412691,50.32657760387202
2019-02-23,11.260761223906195,50.46127603330441
2019-02-24,11.199633909012043,55.644841582237
2019-02-25,11.302208320658979,56.89651172027151
2019-02-26,11.897117045552728,50.380710750471124
2019-02-27,12.173116792675215,45.62895071193984
2019-02-28,11.09779861841981,56.690141056462195
2019-03-01,10.758131217154087,59.17866057568757
2019-03-02,12.043303472225574,58.509131210335006
2019-03-03,12.582399233856217,51.99008804123586
2019-03-04,11.642398437914744,61.40971035465715
2019-03-05,11.34284764118337,69.32599198059478
2019-03-06,10.393399800552581,75.61812301365939
2019-03-07,8.286942246240544,66.24607982365706
2019-03-08,9.425835732801438,67.33498791699338
2019-03-09,11.496176630214695,64.00407218084744
2019-03-10,12.72729386107256,66.0146874922244
2019-03-11,11.830198007515184,61.13528030057903
2019-03-12,11.625708754999303,61.65003454562524
2019-03-13,9.384244195805497,61.71522227927602
2019-03-14,9.69405451091073,55.23587394852933
2019-03-15,12.18151366833,49.52513676856329
2019-03-16,13.237888114313744,46.390792425004165
2019-03-17,11.14002224865811,57.02088856262651
2019-03-18,9.056934233785658,58.50502836794139
2019-03-19,9.064077711753075,61.39506262757251
2019-03-20,8.59779400698012,57.35016130785633
2019-03-21,8.65045324607418,52.599214302275605
2019-03-22,10.011584088795887,49.8840380825038
2019-03-23,11.769660725765299,52.09209559531757
2019-03-24,12.772807764763,50.82120150286445
2019-03-25,11.94024448487293,51.2249454542866
2019-03-26,11.57080253898363,44.05687480685837
2019-03-27,10.512516916170105,43.54928064102562
2019-03-28,10.54766789838268,46.90771721033465
